Expiration,Strike,Option_Type,Latest,Bid,Ask,Change,Volume,Open Int,IV,Last Trade,Mid,OTM
2026-05-15,73.0,Call,13.73,13.6,13.75,unch,0,3,0.0,04/16/26,13.675,False
2026-05-15,73.0,Put,0.01,0.0,0.01,unch,0,793,0.27190000000000003,04/21/26,0.005,True
2026-05-15,74.0,Call,12.85,12.6,12.75,unch,0,2,0.0,,12.675,False
2026-05-15,74.0,Put,0.01,0.0,0.01,unch,345,4286,0.272,04/24/26,0.005,True
2026-05-15,75.0,Call,11.45,11.6,11.75,unch,0,40,0.0,04/23/26,11.675,False
2026-05-15,75.0,Put,0.01,0.0,0.01,unch,80,26908,0.2515,04/24/26,0.005,True
2026-05-15,76.0,Call,10.42,10.6,10.75,unch,0,35,0.0,04/16/26,10.675,False
2026-05-15,76.0,Put,0.01,0.0,0.01,-0.01,23,2655,0.231,04/24/26,0.005,True
2026-05-15,77.0,Call,10.2,9.6,9.75,unch,0,6,0.0,,9.675,False
2026-05-15,77.0,Put,0.01,0.01,0.02,unch,0,1961,0.2216,04/22/26,0.015,True
2026-05-15,78.0,Call,8.57,8.6,8.75,unch,0,5,0.0,,8.675,False
2026-05-15,78.0,Put,0.01,0.01,0.02,unch,44,1771,0.1905,04/24/26,0.015,True
2026-05-15,79.0,Call,8.17,7.6,7.75,unch,0,52,0.0,04/17/26,7.675,False
2026-05-15,79.0,Put,0.01,0.01,0.03,-0.01,51,3415,0.1703,04/24/26,0.02,True
2026-05-15,80.0,Call,6.57,6.6,6.75,-0.43,12,677,0.0,04/24/26,6.675,False
2026-05-15,80.0,Put,0.02,0.02,0.03,-0.03,126,16425,0.165,04/24/26,0.025,True
2026-05-15,81.0,Call,5.83,5.6,5.8,+0.11,22,114,0.0,04/24/26,5.699999999999999,False
2026-05-15,81.0,Put,0.04,0.03,0.04,-0.04,91,11766,0.1603,04/24/26,0.035,True
2026-05-15,81.5,Call,5.5,5.1,5.3,unch,0,10,0.0,04/23/26,5.199999999999999,False
2026-05-15,81.5,Put,0.07,0.04,0.05,unch,99,113,0.1516,04/24/26,0.045,True
2026-05-15,82.0,Call,4.75,4.65,4.8,+4.75,13,734,0.0,04/24/26,4.725,False
